framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,128,0.006060799956321717
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,64,0.0047807998955249785
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,128,0.008848000317811966
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,32,0.007606399804353714
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,16,0.00411520004272461
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,16,0.007599999755620956
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,8,0.004003199934959412
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,8,0.007651200145483017
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,4,0.0038975998759269714
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,4,0.007433599978685379
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,64,0.00793280005455017
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,2,0.004208000004291534
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,2,0.007340800017118454
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,1,1,0.007315199822187424
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,32,0.004383999854326248
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,1,1,0.003852799907326698
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,128,0.005958399921655655
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,64,0.004800000041723251
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,32,0.004227200150489807
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,2,64,0.009027200192213059
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,2,32,0.008044800162315369
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,16,0.004108799993991852
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,2,16,0.007897599786520004
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,2,128,0.008828800171613693
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,8,0.004195199906826019
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,2,4,0.007449600100517273
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,2,0.004268800094723702
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,2,2,0.007836800068616867
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,128,0.005907199904322624
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,64,0.004912000149488449
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,4,64,0.008700799942016602
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,32,0.004259200021624565
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,4,32,0.0084927998483181
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,16,0.0043680001050233844
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,4,16,0.007971200346946716
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,4,0.0039680000394582745
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,2,1,0.003932800143957138
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,8,0.004249599948525429
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,4,8,0.00761599987745285
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,4,0.0039935998618602754
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,2,0.004204799979925155
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,4,2,0.007926400005817413
