framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,7,0.03344533344109853
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,15,0.03345066557327906
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,3,0.03345600018898646
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,7,0.02697066714366277
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,1,0.027301333844661713
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,15,0.026965332527955372
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,3,0.027306665976842243
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,1,0.03345066557327906
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,31,0.03311466674009959
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,63,0.03310933212439219
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,127,0.026965332527955372
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,63,0.026965332527955372
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,255,0.03549866626660029
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,127,0.03311466674009959
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,255,0.02698666602373123
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,31,0.026965332527955372
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,511,0.05460800230503082
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,2047,0.17715734243392944
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,1023,0.05973333120346069
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,1023,0.09284266829490662
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,2047,0.10274133086204529
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,1,0.010581333190202713
TRTLLM,1.0.0rc6,NVIDIA B200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,511,0.041306667029857635
