framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,window_size,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,1,64,128,1,float16,float16,0,5.639904022216797
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,1,64,0,1,float16,float16,0,34.055188496907554
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,1,64,128,1,float16,fp8,0,5.680373509724935
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,1,64,128,1,fp8,fp8,0,5.128853480021159
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,4,64,128,1,fp8,fp8,0,5.205653190612793
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,4,64,128,1,float16,float16,0,5.708335876464844
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,4,64,128,1,float16,fp8,0,5.75760014851888
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,8,64,128,1,float16,fp8,0,5.792133331298828
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,8,64,128,1,float16,float16,0,5.7388051350911455
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,1,64,0,1,float16,fp8,0,34.10701243082682
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,8,64,128,1,fp8,fp8,0,5.2498931884765625
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,4,16384,96,96,64,128,1,float16,float16,0,3.298458735148112
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,1,64,0,1,fp8,fp8,0,31.47369130452474
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,4,64,0,1,fp8,fp8,0,31.525550842285156
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,4,64,0,1,float16,float16,0,34.24447377522787
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,4,16384,96,96,64,128,1,fp8,fp8,0,3.1228319803873696
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,8,16384,96,4,64,0,1,float16,fp8,0,34.23193613688151
TRTLLM,1.2.0rc5,NVIDIA B200,context_attention,torch_flow,4,16384,96,96,64,128,1,float16,fp8,0,3.3674453099568686
